endpoint	direction	thresCurva	thresDist	threshold	pooled_variance	dist2l	curvature	p1	p2
percent_mortality_48	1	0	0	70	8.40166529563283e-4	0	4.618627558375354e-5	1	14
percent_mortality_48	1	0	0	75	0.0010049792405333938	NA	-5.0155643712621526e-5	1	14
percent_mortality_48	1	0	0	80	9.751408260649398e-4	NA	6.100375898738827e-5	1	14
percent_mortality_48	1	0	0	85	0.0014079907544031736	NA	2.8231010348732055e-5	1	14
percent_mortality_48	1	0	0	90	0.001897618714911927	NA	-1.466743512001693e-4	1	14
percent_mortality_48	1	0	0	95	0.0012243473222840573	NA	2.747036413959286e-7	1	14
percent_mortality_96	1	0	0	5	0.010456842384882942	NA	-2.8013668930560935e-7	6	19
percent_mortality_96	1	0	0	10	0.00789755697293169	NA	1.615798753281992e-4	6	19
percent_mortality_96	1	0	0	15	0.008438950475448062	NA	6.411017674056436e-5	6	19
percent_mortality_96	1	0	0	20	0.008687783737987969	NA	8.529137991641561e-5	6	19
percent_mortality_96	1	0	0	25	0.010611367956457885	NA	-5.8111830384260105e-5	6	19
percent_mortality_96	1	0	0	30	0.012033357829071065	0	-1.807798070627304e-4	6	19
percent_mortality_96	1	0	0	35	0.01011091500998168	0.0012603137081580607	-7.653771660768813e-6	6	19
percent_mortality_96	1	0	0	40	0.009721803295762273	9.872963248908498e-4	-1.0138889457219456e-4	6	19
percent_mortality_96	1	0	0	45	0.00683776236234368	0.0032092081389465395	5.1630952541424994e-5	6	19
percent_mortality_96	1	1	1	50	0.005032324960245351	0.004352516431139484	1.069576086760822e-4	6	19
percent_mortality_96	1	0	0	55	0.004646486196986857	0.004076226096940056	3.429254922348768e-5	6	19
percent_mortality_96	1	0	0	60	0.004651380174429526	0.0034092030254655316	-2.551295446865407e-5	6	19
percent_mortality_96	1	0	0	65	0.004007276980150982	0.003391177120021616	3.6848418908292274e-5	6	19
percent_mortality_96	1	0	0	70	0.004038600848273036	0.002697724158099446	4.3114073382864334e-5	6	19
percent_mortality_96	1	0	0	75	0.004851477486770077	0.001222718432655181	-2.1888334570166152e-5	6	19
percent_mortality_96	1	0	0	80	0.004776527546677988	6.355392780153178e-4	1.9284603100352144e-5	6	19
percent_mortality_96	1	0	0	85	0.0055065758650570135	7.566381280371963e-4	-6.729053969559717e-5	6	19
percent_mortality_96	1	0	0	90	0.005340870743738648	0.0012530621022465525	-1.0695482989736129e-4	6	19
percent_mortality_96	1	0	0	95	0.0034256795306243566	0	1.6166598249526834e-7	6	19
